Year,Country,Value
2001,Spain,-4.375
2002,Spain,-3.73
2003,Spain,-3.883
2004,Spain,-5.482
2005,Spain,-7.254
2006,Spain,-8.851
2007,Spain,-9.432
2008,Spain,-8.903
2009,Spain,-4.088
2010,Spain,-3.656
2011,Spain,-2.724
2012,Spain,0.086
2013,Spain,2.038
2014,Spain,1.699
2015,Spain,2.025
2016,Spain,3.174
2017,Spain,2.771
2018,Spain,1.878
2019,Spain,2.106
2020,Spain,0.618
2021,Spain,0.761
2022,Spain,0.612
2023,Spain,2.6
2001,Canada,2.213
2002,Canada,1.735
2003,Canada,1.231
2004,Canada,2.345
2005,Canada,1.927
2006,Canada,1.445
2007,Canada,0.823
2008,Canada,0.147
2009,Canada,-2.909
2010,Canada,-3.562
2011,Canada,-2.712
2012,Canada,-3.534
2013,Canada,-3.141
2014,Canada,-2.32
2015,Canada,-3.495
2016,Canada,-3.088
2017,Canada,-2.803
2018,Canada,-2.377
2019,Canada,-1.953
2020,Canada,-2.017
2021,Canada,0.015
2022,Canada,-0.367
2023,Canada,-0.614
2001,France,1.575
2002,France,1.148
2003,France,0.836
2004,France,0.533
2005,France,0.104
2006,France,0.253
2007,France,-0.102
2008,France,-0.696
2009,France,-0.55
2010,France,-0.629
2011,France,-0.86
2012,France,-0.965
2013,France,-0.51
2014,France,-0.956
2015,France,-0.368
2016,France,-0.486
2017,France,-0.767
2018,France,-0.831
2019,France,0.513
2020,France,-1.618
2021,France,0.36
2022,France,-2.042
2023,France,-0.75
2001,Germany,-0.368
2002,Germany,1.891
2003,Germany,1.414
2004,Germany,4.52
2005,Germany,4.673
2006,Germany,5.772
2007,Germany,6.861
2008,Germany,5.692
2009,Germany,5.836
2010,Germany,5.744
2011,Germany,6.213
2012,Germany,7.129
2013,Germany,6.557
2014,Germany,7.224
2015,Germany,8.584
2016,Germany,8.62
2017,Germany,7.834
2018,Germany,7.952
2019,Germany,8.17
2020,Germany,7.058
2021,Germany,7.704
2022,Germany,4.409
2023,Germany,6.802
2001,Italy,0.155
2002,Italy,-0.498
2003,Italy,-0.787
2004,Italy,-0.482
2005,Italy,-0.883
2006,Italy,-1.476
2007,Italy,-1.367
2008,Italy,-2.795
2009,Italy,-1.885
2010,Italy,-3.295
2011,Italy,-2.825
2012,Italy,-0.231
2013,Italy,1.145
2014,Italy,1.91
2015,Italy,1.446
2016,Italy,2.648
2017,Italy,2.659
2018,Italy,2.605
2019,Italy,3.26
2020,Italy,3.884
2021,Italy,2.422
2022,Italy,-1.454
2023,Italy,0.155
2001,Japan,1.97
2002,Japan,2.609
2003,Japan,3.085
2004,Japan,3.721
2005,Japan,3.521
2006,Japan,3.792
2007,Japan,4.633
2008,Japan,2.792
2009,Japan,2.745
2010,Japan,3.838
2011,Japan,2.084
2012,Japan,0.951
2013,Japan,0.882
2014,Japan,0.751
2015,Japan,3.07
2016,Japan,3.953
2017,Japan,4.128
2018,Japan,3.528
2019,Japan,3.446
2020,Japan,2.966
2021,Japan,3.901
2022,Japan,1.985
2023,Japan,3.435
2001,United Kingdom,-1.773
2002,United Kingdom,-1.973
2003,United Kingdom,-1.823
2004,United Kingdom,-2.302
2005,United Kingdom,-1.998
2006,United Kingdom,-3.12
2007,United Kingdom,-3.729
2008,United Kingdom,-3.862
2009,United Kingdom,-3.068
2010,United Kingdom,-2.761
2011,United Kingdom,-1.63
2012,United Kingdom,-3.146
2013,United Kingdom,-4.644
2014,United Kingdom,-5.022
2015,United Kingdom,-4.948
2016,United Kingdom,-5.448
2017,United Kingdom,-3.493
2018,United Kingdom,-3.927
2019,United Kingdom,-2.688
2020,United Kingdom,-2.869
2021,United Kingdom,-0.473
2022,United Kingdom,-3.081
2023,United Kingdom,-2.197
2001,United States,-3.724
2002,United States,-4.173
2003,United States,-4.559
2004,United States,-5.205
2005,United States,-5.746
2006,United States,-5.911
2007,United States,-5.089
2008,United States,-4.716
2009,United States,-2.623
2010,United States,-2.871
2011,United States,-2.919
2012,United States,-2.573
2013,United States,-2.011
2014,United States,-2.102
2015,United States,-2.233
2016,United States,-2.107
2017,United States,-1.874
2018,United States,-2.129
2019,United States,-2.053
2020,United States,-2.8
2021,United States,-3.524
2022,United States,-3.774
2023,United States,-2.971
