Year,Country,Value
2001,Spain,-0.455
2002,Spain,-0.317
2003,Spain,-0.375
2004,Spain,-0.095
2005,Spain,1.232
2006,Spain,2.124
2007,Spain,1.886
2008,Spain,-4.572
2009,Spain,-11.276
2010,Spain,-9.527
2011,Spain,-9.74
2012,Spain,-11.551
2013,Spain,-7.528
2014,Spain,-6.11
2015,Spain,-5.309
2016,Spain,-4.298
2017,Spain,-3.116
2018,Spain,-2.594
2019,Spain,-3.06
2020,Spain,-10.116
2021,Spain,-6.73
2022,Spain,-4.734
2023,Spain,-3.636
2001,Canada,0.529
2002,Canada,-0.234
2003,Canada,-0.127
2004,Canada,0.768
2005,Canada,1.553
2006,Canada,1.828
2007,Canada,1.82
2008,Canada,0.184
2009,Canada,-3.881
2010,Canada,-4.738
2011,Canada,-3.309
2012,Canada,-2.525
2013,Canada,-1.495
2014,Canada,0.175
2015,Canada,-0.062
2016,Canada,-0.453
2017,Canada,-0.112
2018,Canada,0.36
2019,Canada,-0.017
2020,Canada,-10.949
2021,Canada,-2.919
2022,Canada,0.109
2023,Canada,-0.595
2001,France,-1.379
2002,France,-3.16
2003,France,-4.015
2004,France,-3.591
2005,France,-3.356
2006,France,-2.444
2007,France,-2.636
2008,France,-3.264
2009,France,-7.175
2010,France,-6.887
2011,France,-5.155
2012,France,-4.981
2013,France,-4.084
2014,France,-3.905
2015,France,-3.625
2016,France,-3.637
2017,France,-2.958
2018,France,-2.289
2019,France,-3.065
2020,France,-8.984
2021,France,-6.481
2022,France,-4.806
2023,France,-5.494
2001,Germany,-3.025
2002,Germany,-3.875
2003,Germany,-3.704
2004,Germany,-3.334
2005,Germany,-3.319
2006,Germany,-1.653
2007,Germany,0.261
2008,Germany,-0.116
2009,Germany,-3.151
2010,Germany,-4.379
2011,Germany,-0.881
2012,Germany,0.009
2013,Germany,0.04
2014,Germany,0.58
2015,Germany,0.961
2016,Germany,1.16
2017,Germany,1.336
2018,Germany,1.95
2019,Germany,1.526
2020,Germany,-4.339
2021,Germany,-3.587
2022,Germany,-2.5
2023,Germany,-2.12
2001,Italy,-3.19
2002,Italy,-2.869
2003,Italy,-3.218
2004,Italy,-3.479
2005,Italy,-4.083
2006,Italy,-3.617
2007,Italy,-1.34
2008,Italy,-2.564
2009,Italy,-5.121
2010,Italy,-4.24
2011,Italy,-3.593
2012,Italy,-2.945
2013,Italy,-2.854
2014,Italy,-2.954
2015,Italy,-2.552
2016,Italy,-2.404
2017,Italy,-2.419
2018,Italy,-2.165
2019,Italy,-1.503
2020,Italy,-9.381
2021,Italy,-8.736
2022,Italy,-8.557
2023,Italy,-7.168
2001,Japan,-6.2
2002,Japan,-7.336
2003,Japan,-7.433
2004,Japan,-5.314
2005,Japan,-4.438
2006,Japan,-3.029
2007,Japan,-2.901
2008,Japan,-4.11
2009,Japan,-9.693
2010,Japan,-9.076
2011,Japan,-8.986
2012,Japan,-8.196
2013,Japan,-7.611
2014,Japan,-5.616
2015,Japan,-3.678
2016,Japan,-3.6
2017,Japan,-3.099
2018,Japan,-2.471
2019,Japan,-3.045
2020,Japan,-9.053
2021,Japan,-6.104
2022,Japan,-4.354
2023,Japan,-5.759
2001,United Kingdom,0.315
2002,United Kingdom,-1.978
2003,United Kingdom,-3.238
2004,United Kingdom,-3.188
2005,United Kingdom,-3.173
2006,United Kingdom,-2.794
2007,United Kingdom,-2.68
2008,United Kingdom,-5.158
2009,United Kingdom,-10.097
2010,United Kingdom,-9.253
2011,United Kingdom,-7.42
2012,United Kingdom,-7.496
2013,United Kingdom,-5.382
2014,United Kingdom,-5.576
2015,United Kingdom,-4.622
2016,United Kingdom,-3.338
2017,United Kingdom,-2.505
2018,United Kingdom,-2.273
2019,United Kingdom,-2.481
2020,United Kingdom,-13.14
2021,United Kingdom,-7.864
2022,United Kingdom,-4.741
2023,United Kingdom,-6.03
2001,United States,-0.544
2002,United States,-3.821
2003,United States,-4.771
2004,United States,-4.244
2005,United States,-3.075
2006,United States,-2.036
2007,United States,-2.913
2008,United States,-6.612
2009,United States,-13.177
2010,United States,-10.993
2011,United States,-9.716
2012,United States,-8.114
2013,United States,-4.561
2014,United States,-4.026
2015,United States,-3.53
2016,United States,-4.356
2017,United States,-4.794
2018,United States,-5.335
2019,United States,-5.813
2020,United States,-13.945
2021,United States,-11.09
2022,United States,-4.071
2023,United States,-8.791
