Country,Year,Value
Canada,1990,-1.3
Canada,1991,-3.3
Canada,1992,-0.3
Canada,1993,1.5
Canada,1994,3.4
Canada,1995,1.6
Canada,1996,0.6
Canada,1997,3.2
Canada,1998,3.0
Canada,1999,4.3
Canada,2000,4.2
Canada,2001,0.8
Canada,2002,1.9
Canada,2003,0.9
Canada,2004,2.1
Canada,2005,2.2
Canada,2006,1.6
Canada,2007,1.1
Canada,2008,-0.1
Canada,2009,-4.0
Canada,2010,2.0
Canada,2011,2.1
Canada,2012,0.7
Canada,2013,1.3
Canada,2014,1.8
Canada,2015,-0.1
Canada,2016,-0.1
Canada,2017,1.8
Canada,2018,1.3
Canada,2019,0.4
Canada,2020,-6.1
Canada,2021,4.7
Canada,2022,2.0
Canada,2023,-1.9
Germany,1990,4.4
Germany,1991,4.3
Germany,1992,1.2
Germany,1993,-1.6
Germany,1994,2.0
Germany,1995,1.2
Germany,1996,0.5
Germany,1997,1.6
Germany,1998,2.0
Germany,1999,1.8
Germany,2000,2.8
Germany,2001,1.5
Germany,2002,-0.4
Germany,2003,-0.8
Germany,2004,1.2
Germany,2005,0.8
Germany,2006,3.9
Germany,2007,3.1
Germany,2008,1.2
Germany,2009,-5.5
Germany,2010,4.3
Germany,2011,5.9
Germany,2012,0.2
Germany,2013,0.2
Germany,2014,1.8
Germany,2015,0.6
Germany,2016,1.4
Germany,2017,2.3
Germany,2018,0.7
Germany,2019,0.8
Germany,2020,-3.9
Germany,2021,3.1
Germany,2022,1.1
Germany,2023,-1.1
Spain,1990,3.7
Spain,1991,2.3
Spain,1992,0.4
Spain,1993,-1.5
Spain,1994,1.9
Spain,1995,2.3
Spain,1996,2.2
Spain,1997,3.3
Spain,1998,4.0
Spain,1999,4.1
Spain,2000,4.8
Spain,2001,3.2
Spain,2002,1.3
Spain,2003,1.1
Spain,2004,1.4
Spain,2005,1.9
Spain,2006,2.4
Spain,2007,1.7
Spain,2008,-0.7
Spain,2009,-4.6
Spain,2010,-0.3
Spain,2011,-1.2
Spain,2012,-3.0
Spain,2013,-1.1
Spain,2014,1.7
Spain,2015,3.9
Spain,2016,3.0
Spain,2017,2.7
Spain,2018,1.8
Spain,2019,1.3
Spain,2020,-11.6
Spain,2021,6.3
Spain,2022,5.0
Spain,2023,1.2
France,1990,2.4
France,1991,0.2
France,1992,1.1
France,1993,-1.1
France,1994,2.0
France,1995,1.7
France,1996,1.1
France,1997,2.0
France,1998,3.2
France,1999,2.9
France,2000,3.2
France,2001,1.2
France,2002,0.4
France,2003,0.1
France,2004,2.1
France,2005,0.9
France,2006,1.7
France,2007,1.8
France,2008,-0.3
France,2009,-3.4
France,2010,1.4
France,2011,1.7
France,2012,-0.2
France,2013,0.1
France,2014,0.5
France,2015,0.8
France,2016,0.8
France,2017,2.0
France,2018,1.5
France,2019,1.5
France,2020,-7.8
France,2021,6.1
France,2022,2.1
France,2023,0.4
United Kingdom,1990,0.4
United Kingdom,1991,-1.4
United Kingdom,1992,0.1
United Kingdom,1993,2.2
United Kingdom,1994,3.6
United Kingdom,1995,2.3
United Kingdom,1996,2.3
United Kingdom,1997,4.7
United Kingdom,1998,3.1
United Kingdom,1999,2.7
United Kingdom,2000,3.9
United Kingdom,2001,2.2
United Kingdom,2002,1.4
United Kingdom,2003,2.7
United Kingdom,2004,1.8
United Kingdom,2005,2.0
United Kingdom,2006,1.6
United Kingdom,2007,1.8
United Kingdom,2008,-1.0
United Kingdom,2009,-5.3
United Kingdom,2010,1.4
United Kingdom,2011,0.4
United Kingdom,2012,0.8
United Kingdom,2013,1.1
United Kingdom,2014,2.4
United Kingdom,2015,1.4
United Kingdom,2016,1.2
United Kingdom,2017,2.0
United Kingdom,2018,0.8
