Year,Country,Value
2001,Spain,54.05
2002,Spain,51.25
2003,Spain,47.712
2004,Spain,45.366
2005,Spain,42.43
2006,Spain,39.064
2007,Spain,35.765
2008,Spain,39.712
2009,Spain,53.261
2010,Spain,60.515
2011,Spain,69.85
2012,Spain,89.983
2013,Spain,100.488
2014,Spain,105.059
2015,Spain,103.299
2016,Spain,102.749
2017,Spain,101.8
2018,Spain,100.415
2019,Spain,98.221
2020,Spain,120.266
2021,Spain,116.841
2022,Spain,111.618
2023,Spain,107.461
2001,Canada,81.462
2002,Canada,79.604
2003,Canada,75.912
2004,Canada,71.889
2005,Canada,70.64
2006,Canada,69.92
2007,Canada,67.181
2008,Canada,70.355
2009,Canada,81.804
2010,Canada,83.976
2011,Canada,84.286
2012,Canada,87.151
2013,Canada,87.605
2014,Canada,85.541
2015,Canada,92.029
2016,Canada,92.397
2017,Canada,90.942
2018,Canada,90.776
2019,Canada,90.21
2020,Canada,118.2
2021,Canada,113.483
2022,Canada,107.368
2023,Canada,107.129
2001,France,58.341
2002,France,60.258
2003,France,64.415
2004,France,65.938
2005,France,67.382
2006,France,64.611
2007,France,64.537
2008,France,68.777
2009,France,83.04
2010,France,85.256
2011,France,87.837
2012,France,90.602
2013,France,93.412
2014,France,94.889
2015,France,95.582
2016,France,97.958
2017,France,98.131
2018,France,97.783
2019,France,97.426
2020,France,114.65
2021,France,112.968
2022,France,111.788
2023,France,110.635
2001,Germany,58.193
2002,Germany,59.946
2003,Germany,63.538
2004,Germany,65.201
2005,Germany,67.546
2006,Germany,66.887
2007,Germany,64.158
2008,Germany,65.682
2009,Germany,73.157
2010,Germany,81.995
2011,Germany,79.417
2012,Germany,80.745
2013,Germany,78.322
2014,Germany,75.279
2015,Germany,71.947
2016,Germany,68.955
2017,Germany,65.204
2018,Germany,61.914
2019,Germany,59.58
2020,Germany,68.773
2021,Germany,68.986
2022,Germany,66.077
2023,Germany,64.278
2001,Italy,108.886
2002,Italy,106.361
2003,Italy,105.495
2004,Italy,105.101
2005,Italy,106.557
2006,Italy,106.74
2007,Italy,103.889
2008,Italy,106.164
2009,Italy,116.61
2010,Italy,119.199
2011,Italy,119.694
2012,Italy,126.496
2013,Italy,132.459
2014,Italy,135.369
2015,Italy,135.283
2016,Italy,134.787
2017,Italy,134.167
2018,Italy,134.45
2019,Italy,134.157
2020,Italy,154.917
2021,Italy,147.091
2022,Italy,140.487
2023,Italy,137.28
2001,Japan,145.124
2002,Japan,154.096
2003,Japan,160.021
2004,Japan,169.49
2005,Japan,174.595
2006,Japan,174.143
2007,Japan,172.951
2008,Japan,180.851
2009,Japan,198.807
2010,Japan,205.879
2011,Japan,219.162
2012,Japan,226.093
2013,Japan,229.451
2014,Japan,233.281
2015,Japan,228.278
2016,Japan,232.421
2017,Japan,231.321
2018,Japan,232.38
2019,Japan,236.378
2020,Japan,258.297
2021,Japan,253.919
2022,Japan,257.194
2023,Japan,252.363
2001,United Kingdom,34.958
2002,United Kingdom,35.435
2003,United Kingdom,36.764
2004,United Kingdom,39.802
2005,United Kingdom,41
2006,United Kingdom,42.058
2007,United Kingdom,43.174
2008,United Kingdom,50.827
2009,United Kingdom,64.915
2010,United Kingdom,75.86
2011,United Kingdom,81.425
2012,United Kingdom,84.483
2013,United Kingdom,85.316
2014,United Kingdom,87.094
2015,United Kingdom,87.867
2016,United Kingdom,87.825
2017,United Kingdom,86.723
2018,United Kingdom,86.345
2019,United Kingdom,85.658
2020,United Kingdom,105.8
2021,United Kingdom,105.196
2022,United Kingdom,100.432
2023,United Kingdom,101.084
2001,United States,53.146
2002,United States,55.538
2003,United States,58.625
2004,United States,66.102
2005,United States,65.45
2006,United States,64.186
2007,United States,64.58
2008,United States,73.428
2009,United States,86.595
2010,United States,95.157
2011,United States,99.493
2012,United States,103.059
2013,United States,104.335
2014,United States,104.228
2015,United States,104.646
2016,United States,106.563
2017,United States,105.512
2018,United States,106.828
2019,United States,108.074
2020,United States,131.991
2021,United States,124.956
2022,United States,120.026
2023,United States,122.148
