Year,Country,Value
2001,Spain,2.512
2002,Spain,4.012
2003,Spain,2.692
2004,Spain,3.277
2005,Spain,3.722
2006,Spain,2.718
2007,Spain,4.284
2008,Spain,1.45
2009,Spain,0.899
2010,Spain,2.865
2011,Spain,2.347
2012,Spain,3.007
2013,Spain,0.307
2014,Spain,-1.134
2015,Spain,-0.13
2016,Spain,1.409
2017,Spain,1.222
2018,Spain,1.226
2019,Spain,0.846
2020,Spain,-0.572
2021,Spain,6.569
2022,Spain,5.48
2023,Spain,3.276
2001,Canada,1.069
2002,Canada,3.82
2003,Canada,1.708
2004,Canada,2.293
2005,Canada,2.305
2006,Canada,1.389
2007,Canada,2.496
2008,Canada,1.841
2009,Canada,0.787
2010,Canada,2.228
2011,Canada,2.661
2012,Canada,0.993
2013,Canada,0.956
2014,Canada,1.974
2015,Canada,1.273
2016,Canada,1.414
2017,Canada,1.833
2018,Canada,2.054
2019,Canada,2.062
2020,Canada,0.779
2021,Canada,4.734
2022,Canada,6.642
2023,Canada,3.179
2001,France,1.496
2002,France,2.185
2003,France,2.407
2004,France,2.243
2005,France,1.727
2006,France,1.675
2007,France,2.787
2008,France,1.164
2009,France,0.988
2010,France,1.988
2011,France,2.634
2012,France,1.519
2013,France,0.839
2014,France,0.11
2015,France,0.29
2016,France,0.829
2017,France,1.278
2018,France,1.937
2019,France,1.67
2020,France,-0.227
2021,France,3.371
2022,France,6.991
2023,France,4.185
2001,Germany,1.375
2002,Germany,0.986
2003,Germany,1.099
2004,Germany,2.174
2005,Germany,2.128
2006,Germany,1.389
2007,Germany,3.082
2008,Germany,0.997
2009,Germany,0.877
2010,Germany,1.848
2011,Germany,2.348
2012,Germany,2.086
2013,Germany,1.328
2014,Germany,0.202
2015,Germany,0.201
2016,Germany,1.707
2017,Germany,1.579
2018,Germany,1.846
2019,Germany,1.336
2020,Germany,-0.534
2021,Germany,5.428
2022,Germany,10.805
2023,Germany,2.971
2001,Italy,2.264
2002,Italy,2.995
2003,Italy,2.528
2004,Italy,2.343
2005,Italy,2.048
2006,Italy,2.125
2007,Italy,2.775
2008,Italy,2.362
2009,Italy,1.099
2010,Italy,2.065
2011,Italy,3.727
2012,Italy,2.567
2013,Italy,0.601
2014,Italy,0
2015,Italy,0.1
2016,Italy,0.497
2017,Italy,0.989
2018,Italy,1.175
2019,Italy,0.484
2020,Italy,-0.289
2021,Italy,4.155
2022,Italy,12.338
2023,Italy,0.495
2001,Japan,-0.91
2002,Japan,-0.536
2003,Japan,-0.308
2004,Japan,0.527
2005,Japan,-0.76
2006,Japan,0.368
2007,Japan,0.512
2008,Japan,1.073
2009,Japan,-2
2010,Japan,-0.255
2011,Japan,-0.302
2012,Japan,-0.245
2013,Japan,1.397
2014,Japan,2.551
2015,Japan,0.197
2016,Japan,0.267
2017,Japan,0.549
2018,Japan,0.868
2019,Japan,0.51
2020,Japan,-0.916
2021,Japan,0.513
2022,Japan,3.871
2023,Japan,2.921
2001,United Kingdom,1.059
2002,United Kingdom,1.661
2003,United Kingdom,1.27
2004,United Kingdom,1.673
2005,United Kingdom,1.918
2006,United Kingdom,2.985
2007,United Kingdom,2.083
2008,United Kingdom,3.051
2009,United Kingdom,2.894
2010,United Kingdom,3.703
2011,United Kingdom,4.197
2012,United Kingdom,2.677
2013,United Kingdom,2.034
2014,United Kingdom,0.547
2015,United Kingdom,0.202
2016,United Kingdom,1.559
2017,United Kingdom,2.973
2018,United Kingdom,2.104
2019,United Kingdom,1.302
2020,United Kingdom,0.589
2021,United Kingdom,5.386
2022,United Kingdom,10.528
2023,United Kingdom,3.993
2001,United States,1.552
2002,United States,2.616
2003,United States,1.909
2004,United States,3.209
2005,United States,3.683
2006,United States,2.199
2007,United States,4.084
2008,United States,0.701
2009,United States,1.919
2010,United States,1.689
2011,United States,3.086
2012,United States,1.822
2013,United States,1.319
2014,United States,0.524
2015,United States,0.695
2016,United States,2.197
2017,United States,2.178
2018,United States,1.921
2019,United States,2.086
2020,United States,1.561
2021,United States,7.392
2022,United States,6.413
2023,United States,3.201
