Year,Country,Value
2010,Canada,100
2011,Canada,101
2012,Canada,103
2013,Canada,106
2014,Canada,108
2015,Canada,114
2016,Canada,116
2017,Canada,128
2018,Canada,132
2019,Canada,133
2020,Canada,142
2021,Canada,139
2022,Canada,146
2023,Canada,140
2010,France,100
2011,France,105
2012,France,106
2013,France,107
2014,France,108
2015,France,107
2016,France,106
2017,France,107
2018,France,112
2019,France,114
2020,France,115
2021,France,122
2022,France,123
2023,France,120
2010,Germany,100
2011,Germany,103
2012,Germany,103
2013,Germany,110
2014,Germany,105
2015,Germany,104
2016,Germany,103
2017,Germany,111
2018,Germany,106
2019,Germany,109
2020,Germany,112
2021,Germany,117
2022,Germany,125
2023,Germany,124
2010,Italy,100
2011,Italy,104
2012,Italy,107
2013,Italy,107
2014,Italy,108
2015,Italy,106
2016,Italy,105
2017,Italy,107
2018,Italy,109
2019,Italy,109
2020,Italy,115
2021,Italy,108
2022,Italy,109
2023,Italy,108
2010,Spain,100
2011,Spain,98
2012,Spain,94
2013,Spain,89
2014,Spain,87
2015,Spain,83
2016,Spain,84
2017,Spain,85
2018,Spain,90
2019,Spain,85
2020,Spain,89
2021,Spain,87
2022,Spain,95
2023,Spain,103
2010,United Kingdom,100
2011,United Kingdom,91
2012,United Kingdom,91
2013,United Kingdom,88
2014,United Kingdom,87
2015,United Kingdom,87
2016,United Kingdom,90
2017,United Kingdom,99
2018,United Kingdom,95
2019,United Kingdom,92
2020,United Kingdom,91
2021,United Kingdom,91
2022,United Kingdom,97
2023,United Kingdom,93
