Year,Country,Value
2010,Canada,100
2011,Canada,103
2012,Canada,104
2013,Canada,105
2014,Canada,109
2015,Canada,109
2016,Canada,109
2017,Canada,110
2018,Canada,110
2019,Canada,110
2020,Canada,116
2021,Canada,113
2022,Canada,113
2023,Canada,109
2010,France,100
2011,France,104
2012,France,104
2013,France,107
2014,France,109
2015,France,110
2016,France,111
2017,France,116
2018,France,117
2019,France,116
2020,France,116
2021,France,116
2022,France,113
2023,France,114
2010,Germany,100
2011,Germany,105
2012,Germany,103
2013,Germany,102
2014,Germany,106
2015,Germany,106
2016,Germany,110
2017,Germany,114
2018,Germany,114
2019,Germany,113
2020,Germany,111
2021,Germany,119
2022,Germany,120
2023,Germany,120
2010,Italy,100
2011,Italy,102
2012,Italy,102
2013,Italy,104
2014,Italy,105
2015,Italy,108
2016,Italy,110
2017,Italy,112
2018,Italy,112
2019,Italy,113
2020,Italy,111
2021,Italy,115
2022,Italy,117
2023,Italy,116
2010,Spain,100
2011,Spain,103
2012,Spain,106
2013,Spain,110
2014,Spain,114
2015,Spain,116
2016,Spain,115
2017,Spain,118
2018,Spain,115
2019,Spain,113
2020,Spain,105
2021,Spain,115
2022,Spain,118
2023,Spain,120
2010,United Kingdom,100
2011,United Kingdom,99
2012,United Kingdom,102
2013,United Kingdom,105
2014,United Kingdom,109
2015,United Kingdom,109
2016,United Kingdom,108
2017,United Kingdom,109
2018,United Kingdom,113
2019,United Kingdom,114
2020,United Kingdom,134
2021,United Kingdom,127
2022,United Kingdom,120
2023,United Kingdom,123
