Year,Country,Value
2001,Spain,2.035
2002,Spain,1.946
2003,Spain,1.638
2004,Spain,1.657
2005,Spain,2.718
2006,Spain,3.379
2007,Spain,2.959
2008,Spain,-3.535
2009,Spain,-9.957
2010,Spain,-8
2011,Spain,-7.773
2012,Spain,-9.005
2013,Spain,-4.547
2014,Spain,-3.109
2015,Spain,-2.698
2016,Spain,-1.899
2017,Spain,-0.871
2018,Spain,-0.402
2019,Spain,-1.008
2020,Spain,-8.072
2021,Spain,-4.774
2022,Spain,-2.591
2023,Spain,-1.762
2001,Canada,3.38
2002,Canada,2.256
2003,Canada,1.645
2004,Canada,2.258
2005,Canada,2.532
2006,Canada,2.411
2007,Canada,2.368
2008,Canada,0.466
2009,Canada,-2.776
2010,Canada,-3.9
2011,Canada,-2.701
2012,Canada,-1.822
2013,Canada,-0.994
2014,Canada,0.451
2015,Canada,0.588
2016,Canada,0.131
2017,Canada,0.089
2018,Canada,0.462
2019,Canada,0.104
2020,Canada,-10.455
2021,Canada,-3.553
2022,Canada,-0.254
2023,Canada,-0.091
2001,France,1.216
2002,France,-0.546
2003,France,-1.51
2004,France,-1.08
2005,France,-0.917
2006,France,-0.062
2007,France,-0.158
2008,France,-0.615
2009,France,-4.94
2010,France,-4.606
2011,France,-2.683
2012,France,-2.548
2013,France,-1.914
2014,France,-1.85
2015,France,-1.75
2016,France,-1.892
2017,France,-1.325
2018,France,-0.68
2019,France,-1.707
2020,France,-7.81
2021,France,-5.192
2022,France,-2.981
2023,France,-3.809
2001,Germany,-0.408
2002,Germany,-1.228
2003,Germany,-1.07
2004,Germany,-0.795
2005,Germany,-0.857
2006,Germany,0.742
2007,Germany,2.665
2008,Germany,2.215
2009,Germany,-0.771
2010,Germany,-2.242
2011,Germany,1.122
2012,Germany,1.857
2013,Germany,1.484
2014,Germany,1.813
2015,Germany,2.043
2016,Germany,2.094
2017,Germany,2.171
2018,Germany,2.672
2019,Germany,2.112
2020,Germany,-3.887
2021,Germany,-3.132
2022,Germany,-1.961
2023,Germany,-1.421
2001,Italy,2.573
2002,Italy,2.327
2003,Italy,1.523
2004,Italy,0.968
2005,Italy,0.236
2006,Italy,0.61
2007,Italy,3.181
2008,Italy,2.119
2009,Italy,-0.913
2010,Italy,-0.127
2011,Italy,0.847
2012,Italy,2.031
2013,Italy,1.783
2014,Italy,1.432
2015,Italy,1.382
2016,Italy,1.336
2017,Italy,1.176
2018,Italy,1.299
2019,Italy,1.662
2020,Italy,-6.115
2021,Italy,-5.432
2022,Italy,-4.519
2023,Italy,-3.552
2001,Japan,-4.901
2002,Japan,-6.036
2003,Japan,-6.181
2004,Japan,-4.214
2005,Japan,-3.61
2006,Japan,-2.391
2007,Japan,-2.193
2008,Japan,-3.264
2009,Japan,-8.679
2010,Japan,-8
2011,Japan,-7.784
2012,Japan,-6.973
2013,Japan,-6.48
2014,Japan,-4.506
2015,Japan,-2.631
2016,Japan,-2.532
2017,Japan,-2.164
2018,Japan,-1.678
2019,Japan,-2.364
2020,Japan,-8.413
2021,Japan,-5.518
2022,Japan,-3.948
2023,Japan,-5.638
2001,United Kingdom,1.82
2002,United Kingdom,-0.585
2003,United Kingdom,-1.806
2004,United Kingdom,-1.698
2005,United Kingdom,-1.551
2006,United Kingdom,-1.147
2007,United Kingdom,-0.964
2008,United Kingdom,-3.535
2009,United Kingdom,-8.584
2010,United Kingdom,-6.684
2011,United Kingdom,-4.577
2012,United Kingdom,-5.089
2013,United Kingdom,-3.944
2014,United Kingdom,-3.695
2015,United Kingdom,-3.081
2016,United Kingdom,-1.688
2017,United Kingdom,-0.667
2018,United Kingdom,-0.559
2019,United Kingdom,-1.034
2020,United Kingdom,-12.008
2021,United Kingdom,-5.649
2022,United Kingdom,-1.012
2023,United Kingdom,-3.564
2001,United States,1.769
2002,United States,-1.717
2003,United States,-2.812
2004,United States,-2.351
2005,United States,-1.084
2006,United States,-0.074
2007,United States,-0.847
2008,United States,-4.589
2009,United States,-11.288
2010,United States,-8.966
2011,United States,-7.42
2012,United States,-5.905
2013,United States,-2.584
2014,United States,-2.056
2015,United States,-1.693
2016,United States,-2.374
2017,United States,-2.781
2018,United States,-3.101
2019,United States,-3.532
2020,United States,-11.894
2021,United States,-8.811
2022,United States,-1.264
2023,United States,-5.773
