Year,Country,Value
1998,United Kingdom,100
1999,United Kingdom,105
2000,United Kingdom,103
2001,United Kingdom,102
2002,United Kingdom,101
2003,United Kingdom,97
2004,United Kingdom,95
2005,United Kingdom,91
2006,United Kingdom,91
2007,United Kingdom,87
2008,United Kingdom,83
2009,United Kingdom,73
2010,United Kingdom,84
2011,United Kingdom,89
2012,United Kingdom,88
2013,United Kingdom,91
2014,United Kingdom,89
2015,United Kingdom,93
2016,United Kingdom,86
2017,United Kingdom,87
2018,United Kingdom,86
2019,United Kingdom,85
2020,United Kingdom,94
2021,United Kingdom,91
2022,United Kingdom,96
1998,Canada,100
1999,Canada,101
2000,Canada,103
2001,Canada,108
2002,Canada,110
2003,Canada,112
2004,Canada,111
2005,Canada,110
2006,Canada,108
2007,Canada,107
2008,Canada,103
2009,Canada,104
2010,Canada,105
2011,Canada,106
2012,Canada,106
2013,Canada,109
2014,Canada,110
2015,Canada,108
2016,Canada,109
2017,Canada,109
2018,Canada,109
2019,Canada,108
2020,Canada,122
2021,Canada,112
2022,Canada,110
1998,Germany,100
1999,Germany,100
2000,Germany,102
2001,Germany,103
2002,Germany,105
2003,Germany,105
2004,Germany,105
2005,Germany,104
2006,Germany,102
2007,Germany,99
2008,Germany,98
2009,Germany,96
2010,Germany,102
2011,Germany,104
2012,Germany,103
2013,Germany,101
2014,Germany,104
2015,Germany,104
2016,Germany,106
2017,Germany,106
2018,Germany,107
2019,Germany,102
2020,Germany,106
2021,Germany,98
2022,Germany,95
1998,Spain,100
1999,Spain,95
2000,Spain,87
2001,Spain,85
2002,Spain,84
2003,Spain,82
2004,Spain,79
2005,Spain,77
2006,Spain,74
2007,Spain,72
2008,Spain,80
2009,Spain,93
2010,Spain,91
2011,Spain,92
2012,Spain,102
2013,Spain,104
2014,Spain,104
2015,Spain,101
2016,Spain,103
2017,Spain,101
2018,Spain,96
2019,Spain,92
2020,Spain,90
2021,Spain,82
2022,Spain,82
1998,France,100
1999,France,103
2000,France,107
2001,France,110
2002,France,109
2003,France,108
2004,France,105
2005,France,104
2006,France,103
2007,France,101
2008,France,97
2009,France,92
2010,France,91
2011,France,88
2012,France,85
2013,France,87
2014,France,85
2015,France,86
2016,France,88
2017,France,91
2018,France,90
2019,France,89
2020,France,84
2021,France,78
2022,France,76
1998,Italy,100
1999,Italy,98
2000,Italy,100
2001,Italy,98
2002,Italy,99
2003,Italy,100
2004,Italy,99
2005,Italy,96
2006,Italy,95
2007,Italy,91
2008,Italy,89
2009,Italy,82
2010,Italy,79
2011,Italy,78
2012,Italy,78
2013,Italy,81
2014,Italy,77
2015,Italy,76
2016,Italy,75
2017,Italy,76
2018,Italy,77
2019,Italy,79
2020,Italy,82
2021,Italy,80
2022,Italy,82
