Year,Country,Value
2008,United Kingdom,0.73
2009,United Kingdom,-3.77
2010,United Kingdom,0.73
2011,United Kingdom,-9.17
2012,United Kingdom,-0.27
2013,United Kingdom,-2.41
2014,United Kingdom,-1.02
2015,United Kingdom,-0.18
2016,United Kingdom,3.27
2017,United Kingdom,9.47
2018,United Kingdom,-3.91
2019,United Kingdom,-3.11
2020,United Kingdom,-1.41
2021,United Kingdom,0.48
2022,United Kingdom,2.32
2008,Canada,-2.9
2009,Canada,3.1
2010,Canada,-0.98
2011,Canada,1.37
2012,Canada,1.7
2013,Canada,2.88
2014,Canada,2.02
2015,Canada,4.71
2016,Canada,2.08
2017,Canada,9.72
2018,Canada,4.66
2019,Canada,-0.38
2020,Canada,6.33
2021,Canada,-1.96
2022,Canada,1.78
2008,Germany,0.1
2009,Germany,-2.46
2010,Germany,3.84
2011,Germany,3.34
2012,Germany,-0.48
2013,Germany,6.84
2014,Germany,-4.53
2015,Germany,-0.58
2016,Germany,-1.68
2017,Germany,8.24
2018,Germany,-4.51
2019,Germany,3.16
2020,Germany,2.29
2021,Germany,4.56
2022,Germany,6.89
2008,Spain,2.89
2009,Spain,-3.97
2010,Spain,-1.54
2011,Spain,-1.85
2012,Spain,-4.27
2013,Spain,-5.4
2014,Spain,-2.35
2015,Spain,-4.2
2016,Spain,1.3
2017,Spain,0.97
2018,Spain,6.41
2019,Spain,-6.57
2020,Spain,5.29
2021,Spain,-2.42
2022,Spain,9.61
2008,France,0.8
2009,France,6.65
2010,France,-0.42
2011,France,4.43
2012,France,1.02
2013,France,0.91
2014,France,1.77
2015,France,-0.76
2016,France,0.02
2017,France,2.06
2018,France,5.92
2019,France,1.31
2020,France,-3.34
2021,France,9.17
2022,France,-3.75
2008,Italy,-2.28
2009,Italy,1.05
2010,Italy,6.18
2011,Italy,3.72
2012,Italy,3.2
2013,Italy,-0.11
2014,Italy,0.6
2015,Italy,-1.73
2016,Italy,-0.21
2017,Italy,1.24
2018,Italy,1.94
2019,Italy,0.16
2020,Italy,5.66
2021,Italy,-6.1
2022,Italy,0.73
