Year,Country,Value
1998,United Kingdom,4.05
1999,United Kingdom,9.93
2000,United Kingdom,8.93
2001,United Kingdom,9
2002,United Kingdom,9.82
2003,United Kingdom,9.76
2004,United Kingdom,7.36
2005,United Kingdom,5.4
2006,United Kingdom,10.6
2007,United Kingdom,2.08
2008,United Kingdom,3.86
2009,United Kingdom,-3.25
2010,United Kingdom,1.09
2011,United Kingdom,-0.55
2012,United Kingdom,2.36
2013,United Kingdom,3.02
2014,United Kingdom,3.82
2015,United Kingdom,0.53
2016,United Kingdom,-1.53
2017,United Kingdom,1.11
2018,United Kingdom,3.56
2019,United Kingdom,1
2020,United Kingdom,17.54
2021,United Kingdom,-4.85
2022,United Kingdom,-5.87
1998,Canada,-0.67
1999,Canada,0.88
2000,Canada,2.22
2001,Canada,4.42
2002,Canada,2.02
2003,Canada,1.57
2004,Canada,-0.6
2005,Canada,-0.66
2006,Canada,-1.53
2007,Canada,-1.24
2008,Canada,-4.08
2009,Canada,1.56
2010,Canada,0.76
2011,Canada,0.78
2012,Canada,0.27
2013,Canada,2.54
2014,Canada,0.91
2015,Canada,-1.63
2016,Canada,0.78
2017,Canada,-0.27
2018,Canada,0.62
2019,Canada,-1.5
2020,Canada,12.91
2021,Canada,-7.77
2022,Canada,-2.36
1998,Germany,-0.87
1999,Germany,0.41
2000,Germany,1.9
2001,Germany,1.12
2002,Germany,1.4
2003,Germany,0.15
2004,Germany,-0.44
2005,Germany,-0.22
2006,Germany,-2.29
2007,Germany,-3.05
2008,Germany,-0.62
2009,Germany,-2.22
2010,Germany,6.04
2011,Germany,1.85
2012,Germany,-0.76
2013,Germany,-1.77
2014,Germany,2.96
2015,Germany,-0.21
2016,Germany,1.66
2017,Germany,0.03
2018,Germany,0.78
2019,Germany,-3.93
2020,Germany,3.37
2021,Germany,-7.82
2022,Germany,-2.41
1998,Spain,-3.82
1999,Spain,-5.42
2000,Spain,-7.75
2001,Spain,-2.17
2002,Spain,-2.09
2003,Spain,-2.27
2004,Spain,-3.18
2005,Spain,-3.16
2006,Spain,-2.88
2007,Spain,-3.85
2008,Spain,11.25
2009,Spain,16.99
2010,Spain,-2.1
2011,Spain,1.11
2012,Spain,11.23
2013,Spain,1.87
2014,Spain,-0.01
2015,Spain,-2.82
2016,Spain,1.96
2017,Spain,-2.8
2018,Spain,-4.61
2019,Spain,-3.81
2020,Spain,-2.1
2021,Spain,-9.64
2022,Spain,0.84
1998,France,0.8
1999,France,2.73
2000,France,3.92
2001,France,3.16
2002,France,-1.43
2003,France,-0.94
2004,France,-2.08
2005,France,-1.3
2006,France,-0.63
2007,France,-1.93
2008,France,-4.29
2009,France,-5.06
2010,France,-1.13
2011,France,-2.88
2012,France,-4.26
2013,France,2.32
2014,France,-1.77
2015,France,1.66
2016,France,1.68
2017,France,3.57
2018,France,-1.43
2019,France,-1.03
2020,France,-5.48
2021,France,-7.05
2022,France,-2.28
1998,Italy,-1.17
1999,Italy,-1.87
2000,Italy,1.92
2001,Italy,-2.04
2002,Italy,1.49
2003,Italy,0.6
2004,Italy,-1.43
2005,Italy,-2.83
2006,Italy,-0.93
2007,Italy,-4.34
2008,Italy,-2.37
2009,Italy,-7.39
2010,Italy,-3.55
2011,Italy,-1.67
2012,Italy,-0.14
2013,Italy,3.68
2014,Italy,-4.17
2015,Italy,-1.9
2016,Italy,-0.52
2017,Italy,0.9
2018,Italy,1.15
2019,Italy,2.45
2020,Italy,3.86
2021,Italy,-2
2022,Italy,2.4
