Year,Country,Value
1998,United Kingdom,100
1999,United Kingdom,99
2000,United Kingdom,106
2001,United Kingdom,103
2002,United Kingdom,102
2003,United Kingdom,102
2004,United Kingdom,105
2005,United Kingdom,108
2006,United Kingdom,113
2007,United Kingdom,113
2008,United Kingdom,112
2009,United Kingdom,104
2010,United Kingdom,114
2011,United Kingdom,115
2012,United Kingdom,113
2013,United Kingdom,112
2014,United Kingdom,115
2015,United Kingdom,111
2016,United Kingdom,110
2017,United Kingdom,113
2018,United Kingdom,112
2019,United Kingdom,110
2020,United Kingdom,103
2021,United Kingdom,113
2022,United Kingdom,112
1998,Canada,100
1999,Canada,103
2000,Canada,108
2001,Canada,111
2002,Canada,113
2003,Canada,114
2004,Canada,114
2005,Canada,120
2006,Canada,124
2007,Canada,126
2008,Canada,126
2009,Canada,125
2010,Canada,128
2011,Canada,132
2012,Canada,132
2013,Canada,135
2014,Canada,140
2015,Canada,138
2016,Canada,139
2017,Canada,141
2018,Canada,140
2019,Canada,142
2020,Canada,150
2021,Canada,147
2022,Canada,146
1998,Germany,100
1999,Germany,100
2000,Germany,104
2001,Germany,109
2002,Germany,112
2003,Germany,117
2004,Germany,119
2005,Germany,124
2006,Germany,132
2007,Germany,134
2008,Germany,134
2009,Germany,128
2010,Germany,125
2011,Germany,129
2012,Germany,134
2013,Germany,134
2014,Germany,135
2015,Germany,137
2016,Germany,139
2017,Germany,141
2018,Germany,141
2019,Germany,146
2020,Germany,148
2021,Germany,148
2022,Germany,146
1998,Spain,100
1999,Spain,100
2000,Spain,98
2001,Spain,98
2002,Spain,96
2003,Spain,95
2004,Spain,93
2005,Spain,92
2006,Spain,91
2007,Spain,90
2008,Spain,88
2009,Spain,90
2010,Spain,92
2011,Spain,94
2012,Spain,96
2013,Spain,96
2014,Spain,96
2015,Spain,99
2016,Spain,99
2017,Spain,102
2018,Spain,102
2019,Spain,103
2020,Spain,96
2021,Spain,102
2022,Spain,109
1998,France,100
1999,France,102
2000,France,105
2001,France,106
2002,France,107
2003,France,106
2004,France,105
2005,France,106
2006,France,109
2007,France,109
2008,France,109
2009,France,105
2010,France,106
2011,France,109
2012,France,108
2013,France,110
2014,France,112
2015,France,113
2016,France,115
2017,France,116
2018,France,114
2019,France,114
2020,France,116
2021,France,113
2022,France,107
1998,Italy,100
1999,Italy,100
2000,Italy,104
2001,Italy,105
2002,Italy,102
2003,Italy,101
2004,Italy,103
2005,Italy,106
2006,Italy,105
2007,Italy,105
2008,Italy,104
2009,Italy,102
2010,Italy,105
2011,Italy,106
2012,Italy,106
2013,Italy,107
2014,Italy,110
2015,Italy,111
2016,Italy,112
2017,Italy,113
2018,Italy,113
2019,Italy,115
2020,Italy,117
2021,Italy,120
2022,Italy,123
